role_id,role_name,required_skills
ROBO,Robotics Engineer,"Python, ROS, C++, MATLAB, Sensors, Computer Vision, Motion Planning, Pathfinding, Embedded Systems, Control Theory"
MLROBO,ML Robotics Engineer,"Python, PyTorch, ROS, Deep Learning, Reinforcement Learning, Computer Vision, Motion Planning, Robotics Simulation"
ARVR,AR/VR Developer,"Unity, Unreal Engine, C#, C++, ARKit, ARCore, 3D Modeling, Blender, OpenGL, VR Hardware Integration"
BC,Blockchain Developer,"Solidity, Ethereum, Hyperledger, Smart Contracts, Cryptography, Python, Node.js, Web3.js, Rust, Security"
WEB3,Web3 Developer,"Solidity, Smart Contracts, Ethereum, Rust, Node.js, JavaScript, Blockchain, Cryptography, IPFS, DApps"
SA,Solutions Architect,"AWS, Azure, GCP, Cloud Architecture, Databases, Kubernetes, Docker, Security, Networking, System Design"
DEVO,DevOps Engineer,"Python, Bash, CI/CD, Docker, Kubernetes, AWS, Azure, Terraform, Monitoring, Linux, Git"
SRE,Site Reliability Engineer,"Python, Go, Bash, Cloud, Kubernetes, Docker, Monitoring, Logging, Incident Response, Automation, CI/CD"
NET,Network Engineer,"Networking, TCP/IP, DNS, Firewalls, Routing, Switching, Security, VPN, Linux, Cloud"
SEAI,AI Software Engineer,"Python, PyTorch, TensorFlow, Machine Learning, Deep Learning, REST APIs, Docker, Cloud, System Design, Git"
PRD,Product Manager,"Agile, Product Strategy, Market Research, Data Analysis, Roadmapping, Wireframing, Communication, Leadership"
BI,Business Intelligence Engineer,"SQL, Python, Power BI, Tableau, Data Warehousing, ETL, Cloud, Statistics, Dashboards, Reporting"
DSOP,DataOps Engineer,"Python, SQL, ETL, Airflow, Docker, Kubernetes, Cloud, Git, Monitoring, CI/CD"
CRM,CRM Developer,"Salesforce, Dynamics 365, Apex, JavaScript, REST APIs, SQL, Workflows, Automation, Testing"
ERP,ERP Specialist,"SAP, Oracle ERP, SQL, Python, Workflows, Business Process, Customization, Reporting, Integration"
HRAN,HR Analyst,"Excel, SQL, Power BI, Tableau, Statistics, Reporting, HR Systems, Communication, Data Visualization"
LEG,Legal Tech Specialist,"Python, NLP, Document Analysis, Information Retrieval, Machine Learning, SQL, Compliance, Risk Assessment"
CSUP,Customer Support Engineer,"Python, SQL, Troubleshooting, Communication, CRM, Monitoring, Documentation, APIs"
EDT,EdTech Developer,"Python, JavaScript, Moodle, LMS, React, Node.js, SQL, Cloud, Gamification, Testing"
MKT,Marketing Data Analyst,"Python, R, SQL, Google Analytics, Excel, Tableau, Power BI, A/B Testing, SEO, Reporting"
SEO,SEO Specialist,"Google Analytics, SEMrush, Ahrefs, SEO, Content Strategy, HTML, CSS, Link Building, Keyword Research, Reporting"
ADS,Advertising Analyst,"Python, SQL, Excel, Google Ads, Facebook Ads, Tableau, A/B Testing, Data Visualization, Marketing Strategy"
CSCI,Computer Scientist,"Python, C, C++, Algorithms, Data Structures, Research, Cryptography, AI, Operating Systems, Compiler Design"
